ID,Product Name,Category,Type,Current Weight,Enter Weight (lbs),Enter Length,Enter Width,Enter Height
14324,"Control Wizard Accurate Handheld pH3 Meter","pH/EC/TDS Meters & Solutions",simple,0,,,,
14326,"Replacemnt probe for Control Wizard Accurate pH3 Meter","pH/EC/TDS Meters & Solutions",simple,0,,,,
14346,"3-pack 1.5 V batteries for HM Digital Meters","pH/EC/TDS Meters & Solutions",simple,0,,,,
14348,"Can-Lite Filters","Air Filtration",grouped,0,,,,
14354,"B-52 Vitamin","Nutrients & Supplements",grouped,0,,,,
14355,"Big Bud Bloom Booster","Nutrients & Supplements",grouped,0,,,,
14356,"Bud Blood Bloom Stimulator","Nutrients & Supplements",grouped,0,,,,
14357,"Bud Candy","Nutrients & Supplements",grouped,0,,,,
14358,"Bud Factor X","Nutrients & Supplements",grouped,0,,,,
14359,"CarboLoad","Nutrients & Supplements",grouped,0,,,,
14360,"Final Phase","Nutrients & Supplements",grouped,0,,,,
14362,"Mother Earth Organic Super Tea","Nutrients & Supplements",grouped,0,,,,
14363,"Nirvana","Nutrients & Supplements",grouped,0,,,,
14364,"Overdrive","Nutrients & Supplements",grouped,0,,,,
14365,"Piranha Beneficial Fungi","Nutrients & Supplements",grouped,0,,,,
14367,"Sensi Grow Two-part","Nutrients & Supplements",grouped,0,,,,
14368,"Sensizym","Nutrients & Supplements",grouped,0,,,,
14369,"Tarantula Beneficial Bacteria","Nutrients & Supplements",grouped,0,,,,
14370,"Ultra-premium Connoisseur","Nutrients & Supplements",grouped,0,,,,
14371,"VooDoo Juice Root Booster","Nutrients & Supplements",grouped,0,,,,
14441,"Grow Big Liquid Plant Food (6-4-4)","Nutrients & Supplements",grouped,0,,,,
14442,"Tiger Bloom Liquid Plant Food (2-8-4)","Nutrients & Supplements",grouped,0,,,,
14451,"Big Bloom Liquid Plant Food (1 qt)","Nutrients & Supplements",simple,0,,,,
14453,"Big Bloom Liquid Plant Food (1 gal)","Nutrients & Supplements",simple,0,,,,
14458,"Grow Big Liquid Plant Food (1 gal)","Nutrients & Supplements",simple,0,,,,
14461,"Tiger Bloom Liquid Plant Food (1 qt)","Nutrients & Supplements",simple,0,,,,
14463,"Tiger Bloom Liquid Plant Food (1 gal)","Nutrients & Supplements",simple,0,,,,
14478,"SledgeHammer (1 qt)","Nutrients & Supplements",simple,0,,,,
14508,"Root Pouch","Pots & Containers",grouped,0,,,,
14524,"Socket Sets","Grow Lights Ballast",grouped,0,,,,
14587,"Mondi Super Saucers","Propagation Supplies",grouped,0,,,,
14593,"Mondi Mini Greenhouse 4 and 7 Propagation Domes","Propagation Supplies",grouped,0,,,,
14606,"PH Perfect Ultra-premium Connoisseur","Nutrients & Supplements",grouped,0,,,,
14607,"pH Perfect Sensi Bloom 2-Part","Nutrients & Supplements",grouped,0,,,,
14608,"pH Perfect Sensi Grow 2-Part","Nutrients & Supplements",grouped,0,,,,
