ID,SKU,Name,Type,Action,Reason,New Parent SKU
14385,hmh01031,Bud Candy (1 lt),simple,DELETE,Consolidated into 'Bud Candy' as variant,HMH-BUD-CANDY-2AAA
14388,hmh01033,Bud Candy (2.5 ),simple,DELETE,Consolidated into 'Bud Candy' as variant,HMH-BUD-CANDY-2AAA
14392,hmh01036,CarboLoad (1 lt),simple,DELETE,Consolidated into 'CarboLoad' as variant,HMH-CARBOLOAD-A2BA
14394,hmh01037,CarboLoad (1 ),simple,DELETE,Consolidated into 'CarboLoad' as variant,HMH-CARBOLOAD-A2BA
14395,hmh01038,Final Phase (1 lt),simple,DELETE,Consolidated into 'Final Phase' as variant,HMH-FINAL-PHASE-0C29
14397,hmh01039,Final Phase (1 ),simple,DELETE,Consolidated into 'Final Phase' as variant,HMH-FINAL-PHASE-0C29
14415,hmh01052,Sensi Bloom part A (1 ),simple,DELETE,Consolidated into 'Sensi Bloom part A' as variant,HMH-SENSI-BLOOM-PART-A-B469
14416,hmh01053,Sensi Bloom part A (2.5 ),simple,DELETE,Consolidated into 'Sensi Bloom part A' as variant,HMH-SENSI-BLOOM-PART-A-B469
14431,hmh01065,Ultra-premium Connoisseur Part-A (1 lt),simple,DELETE,Consolidated into 'Ultra-premium Connoisseur Part-A' as variant,HMH-ULTRA-PREMIUM-CONNOISSEUR-5235
14433,hmh01066,Ultra-premium Connoisseur Part-A (1 ),simple,DELETE,Consolidated into 'Ultra-premium Connoisseur Part-A' as variant,HMH-ULTRA-PREMIUM-CONNOISSEUR-5235
14434,hmh01067,Ultra-premium Connoisseur Part-B (1 lt),simple,DELETE,Consolidated into 'Ultra-premium Connoisseur Part-B' as variant,HMH-ULTRA-PREMIUM-CONNOISSEUR-C386
14435,hmh01068,Ultra-premium Connoisseur Part-B (1 ),simple,DELETE,Consolidated into 'Ultra-premium Connoisseur Part-B' as variant,HMH-ULTRA-PREMIUM-CONNOISSEUR-C386
14539,hmh01152,FloraNectar Natural Sugar 1,simple,DELETE,Consolidated into 'FloraNectar Natural Sugar' as variant,HMH-FLORANECTAR-NATURAL-SUGAR-6EF1
14540,hmh01153,FloraNectar Natural Sugar 2.5,simple,DELETE,Consolidated into 'FloraNectar Natural Sugar' as variant,HMH-FLORANECTAR-NATURAL-SUGAR-6EF1
14609,hmh01208,pH Perfect Connoisseur part A (1 lt),simple,DELETE,Consolidated into 'pH Perfect Connoisseur part A' as variant,HMH-PH-PERFECT-CONNOISSEUR-PA-149E
14611,hmh01209,pH Perfect Connoisseur part A (1 gal),simple,DELETE,Consolidated into 'pH Perfect Connoisseur part A' as variant,HMH-PH-PERFECT-CONNOISSEUR-PA-149E
14612,hmh01210,pH Perfect Connoisseur part B (1 lt),simple,DELETE,Consolidated into 'pH Perfect Connoisseur part B' as variant,HMH-PH-PERFECT-CONNOISSEUR-PA-1F21
14613,hmh01211,pH Perfect Connoisseur part B (1 gal),simple,DELETE,Consolidated into 'pH Perfect Connoisseur part B' as variant,HMH-PH-PERFECT-CONNOISSEUR-PA-1F21
15112,hmh01596,Accurate pH 4 w/remote probe,simple,DELETE,Consolidated into 'Accurate pH' as variant,HMH-ACCURATE-PH-490D
15113,hmh01597,Accurate pH 4 w/remote probe,simple,DELETE,Consolidated into 'Accurate pH' as variant,HMH-ACCURATE-PH-490D
15385,hmh01808,Down To Earth Vegan Mix - 6,simple,DELETE,Consolidated into 'Down To Earth Vegan Mix' as variant,HMH-DOWN-TO-EARTH-VEGAN-MIX-B67E
15387,hmh01809,Down To Earth Vegan Mix - 25,simple,DELETE,Consolidated into 'Down To Earth Vegan Mix' as variant,HMH-DOWN-TO-EARTH-VEGAN-MIX-B67E
15389,hmh01811,Down To Earth Kelp Meal - 5,simple,DELETE,Consolidated into 'Down To Earth Kelp Meal' as variant,HMH-DOWN-TO-EARTH-KELP-MEAL-B48D
15391,hmh01812,Down To Earth Kelp Meal - 20,simple,DELETE,Consolidated into 'Down To Earth Kelp Meal' as variant,HMH-DOWN-TO-EARTH-KELP-MEAL-B48D
16621,hmh2011,Dyna-Gro Pro Tekt 1qt,simple,DELETE,Consolidated into 'Dyna-Gro Pro Tekt' as variant,HMH-DYNA-GRO-PRO-TEKT-EAE7
16622,hmh2012,Dyna-Gro Pro Tekt 1gal,simple,DELETE,Consolidated into 'Dyna-Gro Pro Tekt' as variant,HMH-DYNA-GRO-PRO-TEKT-EAE7
62610,,DLI-DIODE-Series-LED Toplighting LED Fixture (Long),simple,DELETE,Consolidated into 'DLI-DIODE-Series-LED Toplighting LED Fixture' as variant,HMH-DLI-DIODE-SERIES-LED-TOPL-4155
68055,HMH-LIT-HTZKKT,DLI-DIODE-Series-LED Toplighting LED Fixture (Long),simple,DELETE,Consolidated into 'DLI-DIODE-Series-LED Toplighting LED Fixture' as variant,HMH-DLI-DIODE-SERIES-LED-TOPL-4155
62622,,Botanicare Organicare True Earth Potting Mix (O.M.R.I.),simple,DELETE,Consolidated into 'Botanicare Organicare True Earth Potting Mix' as variant,HMH-BOTANICARE-ORGANICARE-TRU-A0C4
67499,HMH-GRO-8AOLV0,Botanicare Organicare True Earth Potting Mix (O.M.R.I.),simple,DELETE,Consolidated into 'Botanicare Organicare True Earth Potting Mix' as variant,HMH-BOTANICARE-ORGANICARE-TRU-A0C4
62703,,Athena Bloom B 1 Gallon,simple,DELETE,Consolidated into 'Athena Bloom B' as variant,HMH-ATHENA-BLOOM-B-61E0
67056,HMH-NUT-A5YX6V,Athena Bloom B 1,simple,DELETE,Consolidated into 'Athena Bloom B' as variant,HMH-ATHENA-BLOOM-B-61E0
62712,,Athena Stack 32 oz,simple,DELETE,Consolidated into 'Athena Stack' as variant,HMH-ATHENA-STACK-3628
67168,HMH-NUT-YBAWYC,Athena Stack 32,simple,DELETE,Consolidated into 'Athena Stack' as variant,HMH-ATHENA-STACK-3628
62719,,Athena Balance 1 Gallon,simple,DELETE,Consolidated into 'Athena Balance' as variant,HMH-ATHENA-BALANCE-8F68
67037,HMH-NUT-MOC4I8,Athena Balance 1,simple,DELETE,Consolidated into 'Athena Balance' as variant,HMH-ATHENA-BALANCE-8F68
62786,,Athena Cuts Rooting Gel Compound - 14oz,simple,DELETE,Consolidated into 'Athena Cuts Rooting Gel Compound' as variant,HMH-ATHENA-CUTS-ROOTING-GEL-C-7492
67099,HMH-PRO-H7RVU6,Athena Cuts Rooting Gel Compound - 14oz,simple,DELETE,Consolidated into 'Athena Cuts Rooting Gel Compound' as variant,HMH-ATHENA-CUTS-ROOTING-GEL-C-7492
63040,,E-Papillon 630 Watt LED,simple,DELETE,Consolidated into 'E-Papillon' as variant,HMH-E-PAPILLON-98C7
68202,HMH-LIT-IM94UN,E-Papillon 630 Watt LED,simple,DELETE,Consolidated into 'E-Papillon' as variant,HMH-E-PAPILLON-98C7
63074,,Spray-N-Grow Micronutrients 8 oz,simple,DELETE,Consolidated into 'Spray-N-Grow Micronutrients' as variant,HMH-SPRAY-N-GROW-MICRONUTRIEN-6B66
70582,HMH-NUT-O642LQ,Spray-N-Grow Micronutrients 8,simple,DELETE,Consolidated into 'Spray-N-Grow Micronutrients' as variant,HMH-SPRAY-N-GROW-MICRONUTRIEN-6B66
63373,,Silicium Bloom 500 ML,simple,DELETE,Consolidated into 'Silicium Bloom' as variant,HMH-SILICIUM-BLOOM-62EE
63374,,Silicium Bloom 250 ML,simple,DELETE,Consolidated into 'Silicium Bloom' as variant,HMH-SILICIUM-BLOOM-62EE
63866,,SiLICIUM mono si 250 ml,simple,DELETE,Consolidated into 'SiLICIUM mono si' as variant,HMH-SILICIUM-MONO-SI-D5FB
63867,,SiLICIUM mono si 500 ml,simple,DELETE,Consolidated into 'SiLICIUM mono si' as variant,HMH-SILICIUM-MONO-SI-D5FB
63885,,Multi 8 oz,simple,DELETE,Consolidated into 'Multi' as variant,HMH-MULTI-CE78
69669,HMH-NUT-K8L91R,Multi 8,simple,DELETE,Consolidated into 'Multi' as variant,HMH-MULTI-CE78
63901,,Block Cocos Nucifera 1 GAL,simple,DELETE,Consolidated into 'Block Cocos Nucifera' as variant,HMH-BLOCK-COCOS-NUCIFERA-C61A
67418,HMH-NUT-DZYP24,Block Cocos Nucifera 1,simple,DELETE,Consolidated into 'Block Cocos Nucifera' as variant,HMH-BLOCK-COCOS-NUCIFERA-C61A
