sku,name,type,dec31_image,local_file,status,slug_stem_tried
hmh00802,12 in. x 25 ft flexible duct w/ 2 clamps included,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,hmoonhydro.com\wp-content\uploads\2019\08\flex_duct.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00832,10 in. Bucket Basket,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bucket_baskets3.jpg,hmoonhydro.com\wp-content\uploads\2019\08\bucket_baskets3.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00847,6 in. Site Plug (case of 10),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plugs.jpg,hmoonhydro.com\wp-content\uploads\2019\08\plugs.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00859,"Pulse Start M.H.600W. 7,000K for Vegative Growth",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plantmax_pulse.jpg,hmoonhydro.com\wp-content\uploads\2019\08\plantmax_pulse.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00860,"Pulse Start M.H.600W. 3,000K for Flowering Growth",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plantmax_pulse.jpg,hmoonhydro.com\wp-content\uploads\2019\08\plantmax_pulse.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00861,"Pulse Start M.H.600W. 10,000K for Final Flowering",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plantmax_pulse.jpg,hmoonhydro.com\wp-content\uploads\2019\08\plantmax_pulse.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00862,"Pulse Start M.H.1000W. 7,000K for Vegative Growth",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plantmax_pulse.jpg,hmoonhydro.com\wp-content\uploads\2019\08\plantmax_pulse.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00863,"Pulse Start M.H.1000W. 3,000K for Flowering Growth",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plantmax_pulse.jpg,hmoonhydro.com\wp-content\uploads\2019\08\plantmax_pulse.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh00864,"Pulse Start M.H.1000W. 10,000K for Final Flowering",simple,https://hmoonhydro.com/wp-content/uploads/2019/08/plantmax_pulse.jpg,hmoonhydro.com\wp-content\uploads\2019\08\plantmax_pulse.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01025,Big Bud Bloom Booster (500g powder),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/advancedBigBudLiquid.jpg,hmoonhydro.com\wp-content\uploads\2019\08\advancedBigBudLiquid.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01030,Bud Blood Bloom Stimulator (300g),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/advancedBudBlood.jpg,hmoonhydro.com\wp-content\uploads\2019\08\advancedBudBlood.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01050,Piranha Beneficial Fungi (130 g),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/AN_pirhana.jpg,hmoonhydro.com\wp-content\uploads\2019\08\AN_pirhana.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01064,Tarantula Beneficial Bacteria (130 g),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/advancedTarantula.jpg,hmoonhydro.com\wp-content\uploads\2019\08\advancedTarantula.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01070,VooDoo Juice Root Booster (1 lt),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/voodoo.jpg,hmoonhydro.com\wp-content\uploads\2019\08\voodoo.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01084,Big Bloom Liquid Plant Food (1 gal),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/product_BIGBLOOM.jpg,hmoonhydro.com\wp-content\uploads\2019\08\product_BIGBLOOM.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01088,Grow Big Liquid Plant Food (1 gal),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/product_growbigliqplnt.jpg,hmoonhydro.com\wp-content\uploads\2019\08\product_growbigliqplnt.jpg,PRODUCT_ABSENT_FROM_FEB12,
hmh01092,Tiger Bloom Liquid Plant Food (1 gal),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/product_TIGERBLOOM.jpg,hmoonhydro.com\wp-content\uploads\2019\08\product_TIGERBLOOM.jpg,PRODUCT_ABSENT_FROM_FEB12,
