sku,name,type,dec31_image,feb12_image,local_file,status
hmh00603,Plantmax MH Conversion (HPS Ballast),simple,https://hmoonhydro.com/wp-content/uploads/2019/09/plantmax-mh-conv-lamps_1.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/7d661ed4__plantmax-mh-conv-lamps_1.jpg,,IMAGE_CHANGED
hmh00608,ALL PHASE High Output Metal Halide Horticultural Lamp,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/solarmax_gold_box.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/101d3a43__solarmax_gold_box.jpg,,IMAGE_CHANGED
hmh00611,Light Rail Accessories,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/light_rail_access.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e3596bc9__light_rail_access.jpg,,IMAGE_CHANGED
hmh00615,Bypass Hand Shears,simple,https://hmoonhydro.com/wp-content/uploads/2019/09/bypass-oxo-floral-scissors-snips.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/113442b4__bypass-oxo-floral-scissors-snips.jpg,,IMAGE_CHANGED
hmh00616,Grommets,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/grommets.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/4f6c2d6b__grommets.jpg,,IMAGE_CHANGED
hmh00623,1/Barb Connectors,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/barb_connectors.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/caf65dd1__barb_connectors.jpg,,IMAGE_CHANGED
hmh00625,Netpots,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/netpots.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2e16baed__netpots.jpg,,IMAGE_CHANGED
hmh00628,Plant Supports 50 in. retractable tension line (bag of 10),simple,https://hmoonhydro.com/wp-content/uploads/2019/08/retractable_supports.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/b3d47abb__retractable_supports.jpg,,IMAGE_CHANGED
hmh00639,Backdraft Dampers,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/backdraft_dampers.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e9dff368__backdraft_dampers.jpg,,IMAGE_CHANGED
hmh00646,Can Filters,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e2711101__can-filters.jpg,,IMAGE_CHANGED
hmh00647,Can Filter Pre-Filters,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/New38-Special-Prefilter-sho.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/2a822e47__New38-Special-Prefilter-sho.jpg,,IMAGE_CHANGED
hmh00648,Can Filter Flanges,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9686694a__can-filters-flanges.jpg,,IMAGE_CHANGED
hmh00649,Ducting,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/flex_duct.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/008b3963__flex_duct.jpg,,IMAGE_CHANGED
hmh00661,PROfilter reversible carbon filters,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
hmh00672,BioThrive Grow 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e598e768__biothrive.jpg,,IMAGE_CHANGED
hmh00673,BioThrive Bloom 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biothrive.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e598e768__biothrive.jpg,,IMAGE_CHANGED
hmh00674,BioBud 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biobud.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/85e7a8cb__biobud.jpg,,IMAGE_CHANGED
hmh00675,BioBud 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biobud.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/54e40054__bio-bud-gh.jpg,,IMAGE_CHANGED
hmh00676,BioMarine 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biomarine.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e32a8a85__biomarine.jpg,,IMAGE_CHANGED
hmh00677,BioMarine 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/biomarine.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e32a8a85__biomarine.jpg,,IMAGE_CHANGED
hmh00678,BioRoot 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bioroot.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/fc5e26bc__bioroot.jpg,,IMAGE_CHANGED
hmh00679,BioRoot 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bioroot.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/fc5e26bc__bioroot.jpg,,IMAGE_CHANGED
hmh00680,BioWeed 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bio-weed.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/03c73b3a__bio-weed.jpg,,IMAGE_CHANGED
hmh00681,BioWeed 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/bio-weed.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/03c73b3a__bio-weed.jpg,,IMAGE_CHANGED
hmh00682,CaMg+ 2.5,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/camg.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/537e78b9__camg.jpg,,IMAGE_CHANGED
hmh00683,CaMg+ 6,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/camg.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/799c9f4f__camg__1.jpg,,IMAGE_CHANGED
hmh00706,"CAN 50 Filter 16.5 OD, 19.high, 8 flange size, 420 CFM",variable,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e2711101__can-filters.jpg,,IMAGE_CHANGED
hmh00707,"CAN 66 Filter OD, 26 high, flange size, 412 CFM",variable,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e2711101__can-filters.jpg,,IMAGE_CHANGED
hmh00709,"CAN 100 Filter 16.5 OD, 39.high, flange size, 840 CFM",variable,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/e2711101__can-filters.jpg,,IMAGE_CHANGED
hmh00724,CAN Filter Flange,variable,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9686694a__can-filters-flanges.jpg,,IMAGE_CHANGED
hmh00728,14 Can Filter Flange Max,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9686694a__can-filters-flanges.jpg,,IMAGE_CHANGED
hmh00729,16 Can Filter Flange Max,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9686694a__can-filters-flanges.jpg,,IMAGE_CHANGED
hmh00730,18 Can Filter Flange Max,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9686694a__can-filters-flanges.jpg,,IMAGE_CHANGED
hmh00731,20 Can Filter Flange Max,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/can-filters-flanges.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/9686694a__can-filters-flanges.jpg,,IMAGE_CHANGED
hmh00739,ProFilter Replacement Carbon,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
hmh00744,Pre-Filter for Model Pro 45s,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
hmh00745,Pre-Filter for Model Pro 50,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
hmh00746,Pre-Filter for Model Pro 70s,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
hmh00747,Pre-Filter for Model Pro 75,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
hmh00748,Pre-Filter for Model Pro 100,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
hmh00749,Pre-Filter for Model Pro 125,simple,https://hmoonhydro.com/wp-content/uploads/2019/08/profilter.jpg,https://hmoonhydro.com/wp-content/uploads/2026/02/137b59b5__profilter.jpg,,IMAGE_CHANGED
