SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
29,,,,,,,,,,,,0892753002017,SKIP_MISSING_IN_SHOPIFY
30,,,,,,,,,,,,0892753002024,SKIP_MISSING_IN_SHOPIFY
32,,,,,,,,,,,,0892753002031,SKIP_MISSING_IN_SHOPIFY
34,,,,,,,,,,,,0634038100175,SKIP_MISSING_IN_SHOPIFY
35,,,,,,,,,,,,0634038101172,SKIP_MISSING_IN_SHOPIFY
46,,,,,,,,,,,,0080359091003,SKIP_MISSING_IN_SHOPIFY
91,,,,,,,,,,,,0793094014533,SKIP_MISSING_IN_SHOPIFY
92,,,,,,,,,,,,0793094014212,SKIP_MISSING_IN_SHOPIFY
95,,,,,,,,,,,,0793094014311,SKIP_MISSING_IN_SHOPIFY
96,,,,,,,,,,,,0793094014328,SKIP_MISSING_IN_SHOPIFY
97,,,,,,,,,,,,0793094014113,SKIP_MISSING_IN_SHOPIFY
99,,,,,,,,,,,,0793094014137,SKIP_MISSING_IN_SHOPIFY
100,,,,,,,,,,,,0793094016117,SKIP_MISSING_IN_SHOPIFY
101,,,,,,,,,,,,0793094016124,SKIP_MISSING_IN_SHOPIFY
175,,,,,,,,,,,,0659627003002,SKIP_MISSING_IN_SHOPIFY
176,,,,,,,,,,,,0659627003019,SKIP_MISSING_IN_SHOPIFY
177,,,,,,,,,,,,0659627003026,SKIP_MISSING_IN_SHOPIFY
182,,,,,,,,,,,,0624493114022,SKIP_MISSING_IN_SHOPIFY
102,,,,,,,,,,,,0793094016131,SKIP_MISSING_IN_SHOPIFY
107,,,,,,,,,,,,0793094015837,SKIP_MISSING_IN_SHOPIFY
108,,,,,,,,,,,,0793094015882,SKIP_MISSING_IN_SHOPIFY
125,,,,,,,,,,,,0793094015141,SKIP_MISSING_IN_SHOPIFY
128,,,,,,,,,,,,0793094014175,SKIP_MISSING_IN_SHOPIFY
130,,,,,,,,,,,,0793094014373,SKIP_MISSING_IN_SHOPIFY
131,,,,,,,,,,,,0793094014342,SKIP_MISSING_IN_SHOPIFY
132,,,,,,,,,,,,0793094016148,SKIP_MISSING_IN_SHOPIFY
133,,,,,,,,,,,,0793094017244,SKIP_MISSING_IN_SHOPIFY
134,,,,,,,,,,,,0892753002000,SKIP_MISSING_IN_SHOPIFY
114,,,,,,,,,,,,0793094013888,SKIP_MISSING_IN_SHOPIFY
121,,,,,,,,,,,,0793094015264,SKIP_MISSING_IN_SHOPIFY
122,,,,,,,,,,,,0793094017220,SKIP_MISSING_IN_SHOPIFY
123,,,,,,,,,,,,0793094017237,SKIP_MISSING_IN_SHOPIFY
208,,,,,,,,,,,,0870883002558,SKIP_MISSING_IN_SHOPIFY
210,,,,,,,,,,,,9781878823212,SKIP_MISSING_IN_SHOPIFY
211,,,,,,,,,,,,9781878823199,SKIP_MISSING_IN_SHOPIFY
