Id,Name,Slug,"Term Taxonomy Id",Taxonomy,"Parent Id","Parent Slug",Description,"Term Group",Count,"Category Image","Woocommerce Term Meta"
422,"LED Lighting",led-lighting,422,product_cat,0,,,0,15,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""8"";}}"
423,Hortilux,hortilux,423,product_cat,362,bulbs,,0,16,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""7"";}}"
426,"IMPULSE 1000 W D/E",impulse-1000-w-d-e-bulbs,426,product_cat,362,bulbs,,0,1,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
427,"Emerald Triangle",emerald-triangle,427,product_cat,332,nutrients-supplements,,0,13,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""7"";}}"
429,"Ionic Products",ionic-products,429,product_cat,332,nutrients-supplements,,0,26,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""8"";}}"
431,plagron,plagron,431,product_cat,332,nutrients-supplements,,0,26,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""8"";}}"
432,GREENPOWER,greenpower,432,product_cat,362,bulbs,,0,4,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""3"";}}"
433,"TERPINATOR FINISHING!",terpinator-finishing,433,product_cat,332,nutrients-supplements,,0,3,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
435,"RAW Phosphorus 9 - 61 - 0",raw-phosphorus-9-61-0,435,product_cat,332,nutrients-supplements,,0,1,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""1"";}}"
436,SiLICIUM,silicium,436,product_cat,332,nutrients-supplements,,0,3,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
437,"ROSIN PRO PRESS COMPANY",rosin-pro-press-company,437,product_cat,0,,,0,8,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""5"";}}"
438,"SOIL Additives/Supplements",soil-additives-supplements,438,product_cat,332,nutrients-supplements,,0,28,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""11"";}}"
439,"Magical Butter Botanical Extract",magical-butter-botanical-extract,439,product_cat,0,,,0,2,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
440,"HEMP CBD",hemp-cbd,440,product_cat,0,,,0,22,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:2:""11"";}}"
441,"Soil microBIOMETER",soil-microbiometer,441,product_cat,0,,,0,3,,"a:2:{s:5:""order"";a:1:{i:0;s:1:""0"";}s:25:""product_count_product_cat"";a:1:{i:0;s:1:""2"";}}"
442,"Nutrilife SM-90",nutrilife-sm-90-nutrients-supplements,442,product_cat,332,nutrients-supplements,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
443,"COMPLTET LIGT SYSTEMS",compltet-ligt-systems-grow-lights-ballast,443,product_cat,354,grow-lights-ballast,,0,0,,"a:1:{s:5:""order"";a:1:{i:0;s:1:""0"";}}"
