base_key,handle_count,category,has_consolidated_handle,sku_match_ratio,suggested_action,handles,sample_product_names,vendors,product_types
clonex-mycorrhizae-root-maximizer-soluble,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,clonex-mycorrhizae-root-maximizer-1-pound-soluble|clonex-mycorrhizae-root-maximizer-4-oz-soluble|clonex-mycorrhizae-root-maximizer-4-oz-soluble-2|clonex-mycorrhizae-root-maximizer-8-oz-soluble|clonex-mycorrhizae-root-maximizer-8-oz-soluble-2,Clonex Mycorrhizae Root Maximizer 1 pound Soluble|Clonex Mycorrhizae Root Maximizer 4 OZ Soluble|Clonex Mycorrhizae Root Maximizer 8 OZ Soluble,H Moon Hydro,simple
diamond-black,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,diamond-black|diamond-black-1-gal|diamond-black-1-qt|diamond-black-2-5-gal|diamond-black-6-gal,Diamond Black|Diamond Black 1 gal|Diamond Black 1 qt|Diamond Black 2.5 gal|Diamond Black 6 gal,H Moon Hydro,grouped|simple
diamond-nectar,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,diamond-nectar|diamond-nectar-1-gal|diamond-nectar-1-qt|diamond-nectar-2-5-gal|diamond-nectar-6-gal,Diamond Nectar|Diamond Nectar 1 gal|Diamond Nectar 1 qt|Diamond Nectar 2.5 gal|Diamond Nectar 6 gal,H Moon Hydro,grouped|simple
flavor-ful,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,flavor-ful|flavor-ful-1-gal|flavor-ful-1-qt|flavor-ful-2-5-gal|flavor-ful-5-gal,Flavor-Ful|Flavor-Ful 1 gal|Flavor-Ful 1 qt|Flavor-Ful 2.5 gal|Flavor-Ful 5 gal,H Moon Hydro,grouped|simple
florablend,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,florablend|florablend-2-5-gal|florablend-6-gal|florablend-gal|florablend-qt,FloraBlend|FloraBlend 2.5 gal|FloraBlend 6 gal|FloraBlend gal|FloraBlend qt,H Moon Hydro,grouped|simple
floraduo-a,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floraduo-a-1-gal|floraduo-a-1-qt|floraduo-a-16-oz|floraduo-a-2-5-gal|floraduo-a-6-gal,FloraDuo A 1 gal|FloraDuo A 1 qt|FloraDuo A 16 oz|FloraDuo A 2.5 gal|FloraDuo A 6 gal,H Moon Hydro,simple
floraduo-b,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,floraduo-b-1-gal|floraduo-b-1-qt|floraduo-b-16-oz|floraduo-b-2-5-gal|floraduo-b-6-gal,FloraDuo B 1 gal|FloraDuo B 1 qt|FloraDuo B 16 oz|FloraDuo B 2.5 gal|FloraDuo B 6 gal,H Moon Hydro,simple
floralicious-plus,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,floralicious-plus|floralicious-plus-1-gal|floralicious-plus-16-oz|floralicious-plus-32-oz|floralicious-plus-8-oz,Floralicious Plus|Floralicious Plus 1 gal|Floralicious Plus 16 oz|Floralicious Plus 32 oz|Floralicious Plus 8 oz,H Moon Hydro,grouped|simple
grow-natural,5,archive,yes,1.00,Archive legacy single products; already covered in consolidated import,grow-natural|grow-natural-1-gal|grow-natural-1-qt|grow-natural-2-5-gal|grow-natural-5-gal,Grow Natural|Grow Natural 1 gal|Grow Natural 1 qt|Grow Natural 2.5 gal|Grow Natural 5 gal,H Moon Hydro,grouped|simple
hose-clamps,5,archive,no,1.00,Archive legacy single products; already covered in consolidated import,10-in-hose-clamps|12-in-hose-clamps|4-in-hose-clamps|6-in-hose-clamps|8-in-hose-clamps,10 in. hose clamps|12 in. hose clamps|4 in. hose clamps|6 in. hose clamps|8 in. hose clamps,H Moon Hydro,simple
