Published,Tags,Type,Vendor,Body (HTML),Title,Handle,Variant SKU,Variant Price,Variant Barcode,Cost per item
,,,,,,,hmh00289,16.98,0692236072328,6.84
,,,,,,,hmh00290,42.98,0718122810604,18.19
,,,,,,,hmh00291,79.95,0718122811007,36.43
,,,,,,,hmh00292,16.48,0692236072229,7.22
,,,,,,,hmh00293,42.98,0718122810604,18.19
,,,,,,,hmh00294,83.99,0718122810901,36.43
,,,,,,,hmh00295,151.00,0718122809707,75.95
,,,,,,,hmh00296,16.98,0692236072427,6.84
,,,,,,,hmh00297,42.98,0718122810802,18.19
,,,,,,,hmh00298,83.99,0718122809608,36.43
,,,,,,,hmh00299,151.95,0718122810000,75.95
,,,,,,,hmh00300,25.98,0692236000529,8.53
,,,,,,,hmh00301,85.45,0692236079969,46.75
,,,,,,,hmh00302,239.49,0692236000826,123.0
,,,,,,,hmh00303,25.98,0692236001229,7.95
,,,,,,,hmh00304,56.40,0692236000307,26.7
,,,,,,,hmh00305,56.40,0692236000307,26.7
,,,,,,,hmh00306,104.49,0692236000239,50.0
,,,,,,,hmh00307,104.49,0692236000239,50.0
,,,,,,,hmh00308,103.98,0692236000147,54.8
,,,,,,,hmh00309,103.98,0692236000147,54.8
,,,,,,,hmh00310,232.70,0069223601888,129.7
,,,,,,,hmh00311,232.70,0069223601888,129.7
,,,,,,,hmh00312,232.70,0069223601888,129.7
,,,,,,,hmh00313,120.00,0692236034159,61.0
,,,,,,,hmh00314,120.00,0692236034159,61.0
,,,,,,,hmh00315,120.00,0692236034159,61.0
,,,,,,,hmh00316,270.00,0692236030977,137.0
,,,,,,,hmh00317,45.98,0692236000116,23.43
,,,,,,,hmh00318,96.49,0692236000802,39.95
,,,,,,,hmh00319,36.99,0692236000260,15.05
,,,,,,,hmh00320,21.41,0692236031929,9.07
,,,,,,,hmh00321,39.00,0692236031936,18.95
,,,,,,,hmh00322,123.07,0692236031943,58.1
,,,,,,,hmh00323,15.25,0691111166677,9.35
,,,,,,,hmh00324,21.85,0699911158800,13.4
,,,,,,,hmh00325,34.92,0691111122202,21.43
,,,,,,,hmh00326,15.54,0692236000017,7.95
,,,,,,,hmh00327,27.27,0692236000024,12.95
,,,,,,,hmh00328,78.10,0692236000789,37.2
,,,,,,,hmh00329,27.98,0692236030434,15.19
,,,,,,,hmh00330,86.98,0692236030441,45.46
,,,,,,,hmh00331,206.23,0692236030458,91.16
,,,,,,,hmh00332,448.98,,
,,,,,,,hmh00336,21.98,0692236000246,9.95
,,,,,,,hmh00337,97.89,0718122806805,37.0
,,,,,,,hmh00338,151.99,0692236000796,68.39
,,,,,,,hmh00339,39.05,0692236000277,19.95
,,,,,,,hmh00340,166.13,0692236000284,74.2
,,,,,,,hmh00341,11.44,0837654466018,5.85
,,,,,,,hmh00342,45.00,0682863044720,22.5
,,,,,,,hmh00343,45.00,0682863044744,22.5
,,,,,,,hmh00344,45.00,0682863044744,22.5
,,,,,,,hmh00345,15.44,0837654466117,7.9
,,,,,,,hmh00346,425.00,0860007760853,425.0
,,,,,,,hmh00347,402.00,6899765111666,201.55
,,,,,,,hmh00348,81.19,0837654466131,41.53
,,,,,,,hmh00349,155.54,0837654466148,79.56
,,,,,,,hmh00350,11.44,0837654466063,5.85
,,,,,,,hmh00351,67.00,1466787879974,33.0
,,,,,,,hmh00352,149.00,3557648899999,86.0
,,,,,,,hmh00353,200.00,,100.0
,,,,,,,hmh00355,48.88,0837654478882,25.0
,,,,,,,hmh00356,195.50,0837654478899,100.0
,,,,,,,hmh00357,371.44,0837654478905,
,,,,,,,hmh00358,33.23,0837654466827,17.0
,,,,,,,hmh00359,127.07,0837654466834,16.25
,,,,,,,hmh00360,307.90,0837654466858,78.75
,,,,,,,hmh00361,23.45,0837654466889,12.0
,,,,,,,hmh00362,78.19,0837654466896,10.0
,,,,,,,hmh00363,185.72,0837654466902,95.0
,,,,,,,hmh00364,22.87,0837654466568,11.7
,,,,,,,hmh00365,73.00,0837654466575,36.5
,,,,,,,hmh00366,142.95,0837654466582,36.56
,,,,,,,hmh00367,425.00,0860007760853,425.0
,,,,,,,hmh00368,22.87,0837654466612,11.7
,,,,,,,hmh00369,73.00,0837654466629,36.5
,,,,,,,hmh00370,142.95,0837654466636,36.56
,,,,,,,hmh00371,200.00,,100.0
,,,,,,,hmh00372,17.16,0837654466711,8.78
