Variant SKU,Handle,Title,Variant Price,Variant Inventory Qty,Top Candidate Item Number,Top Candidate Item Name,Top Candidate Score,Top Candidate Qty Total,Top Candidate Regular Price,POS Item Number,POS Item Name,POS Size,POS Qty Total,POS Regular Price,POS On Order Qty,POS Vendor,Match Score,Confidence,Review Notes,Alt1 Item Number,Alt1 Item Name,Alt1 Score,Alt2 Item Number,Alt2 Item Name,Alt2 Score
,nevilles-haze-feminised-almost-pure-haze-landrace-5-seed,Neville's Haze (Feminised) Almost pure Haze Landrace 5 Seed,50.00,0,26,Pure Blend Pro Grow 5Gal,0.514,1,274.42,,,,0,,0,,0.514,low-score,Ambiguous: Δ=0.007,21,Pure Blend Pro Grow 2.5G,0.508,24,Pure Blend Pro Bloom 5Gal,0.500
,nevilles-haze-feminised-almost-pure-haze-landrace-5-seed,,,,26,Pure Blend Pro Grow 5Gal,0.605,1,274.42,,,,0,,0,,0.605,low-score,Ambiguous: Δ=0.014,21,Pure Blend Pro Grow 2.5G,0.590,24,Pure Blend Pro Bloom 5Gal,0.588
,money-maker-feminised-original-master-kush-x-hindu-kush-x-skunk-5-seed,Money Maker (Feminised) Original Master Kush x Hindu Kush x Skunk-5 Seed,40.00,0,565,Master-A 5Gal,0.500,6,251.61,,,,0,,0,,0.500,low-score,Ambiguous: Δ=0.000,569,Master-B 5Gal,0.500,564,Master-A 2.5Gal,0.493
,money-maker-feminised-original-master-kush-x-hindu-kush-x-skunk-5-seed,,,,565,Master-A 5Gal,0.583,6,251.61,,,,0,,0,,0.583,low-score,Ambiguous: Δ=0.000,569,Master-B 5Gal,0.583,564,Master-A 2.5Gal,0.567
hmh00467,miniblocks-1-5-x-1-5-x-1-5-6-15mm-hole98-plugs-per-matt,"Miniblocks 1.5 x 1.5 x 1.5, 6/15mm hole<br>(98 plugs per matt)",19.95,0,3616,NETAFIM hole plug,0.599,100,0.66,,,,0,,0,,0.599,low-score,High stock (~100) - manual confirmation,3114,Grodon start plugs R/W 50 plugs,0.518,799,"6"" Site Plug",0.505
hmh00939,mlc-16-lights-120-240-volt-universal-x-plug,"MLC 16 Lights (120/240 volt, Universal X-Plug)",619.95,0,2983,Light control 8 light 120/240,0.584,1,299.00,,,,0,,0,,0.584,low-score,Ambiguous: Δ=0.111,1214,LT4-120 4 Light Timer,0.473,1222,LT4-120-B 4 Light Timer,0.471
,jack-herer-auto-feminised-jack-herer-x-ruderalis-5-seed,Jack Herer Auto (Feminised) Jack Herer x Ruderalis-5 Seed,42.00,0,3568,Jacks 5-50-18 UltraViolet 1kg,0.567,5,29.95,,,,0,,0,,0.567,low-score,Ambiguous: Δ=0.294,3582,G.M.O. X MendoBreath/ Auto,0.274,3560,Facefat Strain Auto FEM,0.271
hmh01600,lec-315-240v-2,LEC 315 240V,429.00,0,2787,315 Socket set Adapter,0.608,26,13.95,,,,0,,0,,0.608,low-score,High stock (~26) - manual confirmation,2954,GREENPOWER FIXTURES HORIZ. 315,0.525,2612,Philips LEC 315 3100K Bulb,0.462
,8of32-kings-juice-feminised-mimosa-x-kings-kush-5-seed,King's Juice (Feminised) Mimosa x King's Kush-5 Seed,45.00,0,3607,N.C.R. GROW Juice 2.5 Gallon,0.603,1,180.39,,,,0,,0,,0.603,low-score,Ambiguous: Δ=0.118,2356,Zeus Juice 2.5Gal,0.485,2715,Earth Juice Rainbow Mix Grow,0.271
,8of32-kings-juice-feminised-mimosa-x-kings-kush-5-seed,,,,2356,Zeus Juice 2.5Gal,0.563,10,138.56,,,,0,,0,,0.563,low-score,Ambiguous: Δ=0.011,3607,N.C.R. GROW Juice 2.5 Gallon,0.552,2715,Earth Juice Rainbow Mix Grow,0.263
,kings-kush-feminised-og-kush-x-grape-5-seed,King's Kush (Feminised) OG Kush x Grape -5 Seed,45.00,0,3257,"G.M.O. Auto ""OG""",0.238,0,50.00,,,,0,,0,,0.238,low-score,Ambiguous: Δ=0.048,3661,OG Oganics Bud Candy liter,0.189,3373,OG Organics™ BigMike’s OG Tea,0.184
,jack-herer-feminised-haze-x-red-skunk-5-pk-seed,Jack Herer (Feminised) Haze x Red Skunk-5 pk Seed,44.00,0,2659,PK APATITE 2.5 Gal,0.572,-1,321.00,,,,0,,0,,0.572,low-score,Ambiguous: Δ=0.014,3568,Jacks 5-50-18 UltraViolet 1kg,0.558,3357,Ionic PK Boost 2.5 Gallon,0.545
hmh00446,hygrozyme-4-l,HYGROZYME 4 L,135.25,0,186,Hygrozyme Gal,0.563,6,136.99,,,,0,,0,,0.563,low-score,Ambiguous: Δ=0.016,185,Hygrozyme Lt,0.547,184,Hygrozyme 500ml,0.499
,great-white-shark-feminised-super-skunk-x-brazilian-x-south-indian-5-seed,Great White Shark (Feminised) Super Skunk x Brazilian x South Indian.-5 SEED,45.00,0,756,"Uno 42"" Parabolic",0.385,10,99.89,,,,0,,0,,0.385,low-score,Ambiguous: Δ=0.034,2841,Great White,0.351,3145,"Great White® Mycorrhizae 1 oz,",0.349
,holy-punch-feminised-the-church-x-grape-photo-5-seed,Holy Punch (Feminised) The Church x Grape Photo 5 Seed,45.00,0,1216,PS-1 Day/Night Photo Switch,0.227,7,128.80,,,,0,,0,,0.227,low-score,Ambiguous: Δ=0.004,989,CO2 Controller/Monitor/photo I,0.223,1206,Professional Hole Punch,0.219
,holy-punch-feminised-the-church-x-grape-photo-5-seed,,,,1206,Professional Hole Punch,0.279,0,12.21,,,,0,,0,,0.279,low-score,Ambiguous: Δ=0.074,989,CO2 Controller/Monitor/photo I,0.205,1927,CT-CT-3P,0.204
hmh00038,general-organics-starter-box,General Organics Starter Box,56.25,0,2019,Advanced Nutrients Starter Kit,0.497,1,217.88,,,,0,,0,,0.497,low-score,Ambiguous: Δ=0.003,1818,Personal GROW BOX/ 8 liters,0.494,559,Honey Organic ES Gal,0.476
,grodan-hugo-6in-x-6in-x-6in-pre-cut-holes,Grodan Hugo - 6in x 6in x 6in - Pre-Cut Holes,250.00,10,1459,Grodan Gro 6 x 6 x 6 HUGO,0.547,0,3.75,,,,0,,0,,0.547,low-score,Ambiguous: Δ=0.116,3456,"Grodon Hugo 6""/Cs.- 64",0.431,1360,Flora Flex PotPro Pot 8 in,0.416
,hawaiian-snow-feminised-hawaiian-sativa-x-laos,Hawaiian Snow (Feminised) Hawaiian sativa x Laos,60.00,0,3549,AMBER LABEL - SATIVA 250ml,0.361,0,74.95,,,,0,,0,,0.361,low-score,Ambiguous: Δ=0.060,1329,E.T.-Snow Storm Ultra Qt,0.301,1330,E.T.Snow Storm Ultra 8oz,0.298
,hawaiian-snow-feminised-hawaiian-sativa-x-laos,,,,1330,E.T.Snow Storm Ultra 8oz,0.343,-3,15.95,,,,0,,0,,0.343,low-score,Ambiguous: Δ=0.001,3549,AMBER LABEL - SATIVA 250ml,0.342,1329,E.T.-Snow Storm Ultra Qt,0.295
