SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
1713,,,,,9,,,,,,,6911111106433,SKIP_MISSING_IN_SHOPIFY
1852,,,,,1,,,,,,,0845268001822,SKIP_MISSING_IN_SHOPIFY
1924,,,,,3,,,,,,,0870883009342,SKIP_MISSING_IN_SHOPIFY
1854,,,,,1,,,,,,,0845268002553,SKIP_MISSING_IN_SHOPIFY
1943,,,,,5,,,,,,,0845268005240,SKIP_MISSING_IN_SHOPIFY
1958,,,,,0,,,,,,,0757900618124,SKIP_MISSING_IN_SHOPIFY
1962,,,,,48,,,,,,,0035355002256,SKIP_MISSING_IN_SHOPIFY
1970,,,,,24,,,,,,,0034613096297,SKIP_MISSING_IN_SHOPIFY
1972,gid://shopify/ProductVariant/42665862856778,mondi-super-saucer-10,DRAFT,0,88,88,2.29,,0.65,,10876395000591,10876395000591,READY_TO_UPDATE
1926,,,,,0,,,,,,,0832522002022,SKIP_MISSING_IN_SHOPIFY
1959,,,,,204,,,,,,,0609728631185,SKIP_MISSING_IN_SHOPIFY
1971,,,,,2,,,,,,,0035307018809,SKIP_MISSING_IN_SHOPIFY
1973,gid://shopify/ProductVariant/42665862922314,mondi-super-saucer-12,DRAFT,25,50,25,3.62,,0.9,,10876395000607,10876395000607,READY_TO_UPDATE
1996,,,,,4,,,,,,,0840470000199,SKIP_MISSING_IN_SHOPIFY
2001,,,,,0,,,,,,,0845268002973,SKIP_MISSING_IN_SHOPIFY
2004,,,,,0,,,,,,,0757900610104,SKIP_MISSING_IN_SHOPIFY
1927,,,,,3,,,,,,,0741559010644,SKIP_MISSING_IN_SHOPIFY
1974,gid://shopify/ProductVariant/42665863053386,mondi-super-saucer-14,DRAFT,115,0,-115,3.10,,1.43,,10876395000614,10876395000614,READY_TO_UPDATE
1997,,,,,0,,,,,,,0840470000205,SKIP_MISSING_IN_SHOPIFY
