ProductID,Handle,SKU,Existing,Incoming
gid://shopify/Product/8043103322186,bud-start,hmh00317,DRAFT,ACTIVE
gid://shopify/Product/8043119640650,bud-start,hmh01335,DRAFT,ACTIVE
gid://shopify/Product/8043119542346,bud-start,hmh01848,DRAFT,ACTIVE
gid://shopify/Product/8043119575114,bud-start,hmh01338,DRAFT,ACTIVE
gid://shopify/Product/8043119673418,bud-start,hmh01337,DRAFT,ACTIVE
gid://shopify/Product/8043119607882,bud-start,hmh01336,DRAFT,ACTIVE
gid://shopify/Product/8043105288266,carbo-blast,hmh00318,DRAFT,ACTIVE
gid://shopify/Product/8043119771722,carbo-blast,hmh01347,DRAFT,ACTIVE
gid://shopify/Product/8043119804490,carbo-blast,hmh01348,DRAFT,ACTIVE
gid://shopify/Product/8043119738954,carbo-blast,hmh01349,DRAFT,ACTIVE
gid://shopify/Product/8043105615946,carbo-blast,hmh01351,DRAFT,ACTIVE
gid://shopify/Product/8043119837258,carbo-blast,hmh01861,DRAFT,ACTIVE
gid://shopify/Product/8043120001098,carbo-blast,hmh01862,DRAFT,ACTIVE
gid://shopify/Product/8043127832650,prop-o-gator-plant-food,hmh00320,DRAFT,ACTIVE
gid://shopify/Product/8043127537738,prop-o-gator-plant-food,hmh00322,DRAFT,ACTIVE
gid://shopify/Product/8043127504970,prop-o-gator-plant-food,hmh00321,DRAFT,ACTIVE
gid://shopify/Product/8043132846154,suck-it-up,hmh00326,DRAFT,ACTIVE
gid://shopify/Product/8043132321866,suck-it-up,hmh00327,DRAFT,ACTIVE
gid://shopify/Product/8043133698122,suck-it-up,hmh00328,DRAFT,ACTIVE
gid://shopify/Product/8043106238538,double-super-b-extra-strength,hmh00329,DRAFT,ACTIVE
gid://shopify/Product/8043107254346,double-super-b-extra-strength,hmh00330,DRAFT,ACTIVE
gid://shopify/Product/8043106828362,double-super-b-extra-strength,hmh00331,DRAFT,ACTIVE
gid://shopify/Product/8043107156042,double-super-b-extra-strength,hmh00332,DRAFT,ACTIVE
gid://shopify/Product/8043134943306,ton-o-bud-0-10-6,hmh00336,DRAFT,ACTIVE
gid://shopify/Product/8043135107146,ton-o-bud-0-10-6,hmh00337,DRAFT,ACTIVE
gid://shopify/Product/8043134910538,ton-o-bud-0-10-6,hmh00338,DRAFT,ACTIVE
gid://shopify/Product/8043120164938,ton-o-bud-0-10-6,hmh01342,DRAFT,ACTIVE
gid://shopify/Product/8043120263242,ton-o-bud-0-10-6,hmh01343,DRAFT,ACTIVE
gid://shopify/Product/8043120099402,ton-o-bud-0-10-6,hmh01344,DRAFT,ACTIVE
gid://shopify/Product/8043120296010,ton-o-bud-0-10-6,hmh01345,DRAFT,ACTIVE
gid://shopify/Product/8043120197706,ton-o-bud-0-10-6,hmh01850,DRAFT,ACTIVE
gid://shopify/Product/8043120230474,ton-o-bud-0-10-6,hmh01851,DRAFT,ACTIVE
gid://shopify/Product/8043134320714,the-hammer,hmh00339,DRAFT,ACTIVE
gid://shopify/Product/8043134517322,the-hammer,hmh00340,DRAFT,ACTIVE
gid://shopify/Product/8043115970634,humboldt-grow-2-1-6,hmh00341,DRAFT,ACTIVE
gid://shopify/Product/8043115774026,humboldt-grow-2-1-6,hmh00342,DRAFT,ACTIVE
