SKU,Reason,Status,Details
hmh01024,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01025,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01026,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01027,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01028,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01029,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01030,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01031,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01032,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01033,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01036,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01037,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01038,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01039,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01040,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01041,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01042,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01043,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01044,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01045,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
hmh01046,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01047,inventory_set_failed,429,"{""errors"":""Exceeded 2 calls per second for api client. Reduce request rates to resume uninterrupted service.""}"
hmh01048,inventory_set_failed,422,"{""errors"":[""Inventory item does not have inventory tracking enabled""]}"
