metric,value
Total Products,1455
Total Variants,2145
Active Products,777
Draft Products,678
Archived Products,0
% Variants Missing SKU,8.72%
Variants with Blank/Zero Price,0
Archived/Draft with Inventory,537

metric,value
PROBLEM SHORTLIST (first 300),
product_handle / variant_id / sku,status | price | total_inv | target_loc_inv
bioweed-1-qt | gid://shopify/ProductVariant/42665843097674 | hmh00251,DRAFT | 67.08 | 11 | 11
block-cocos-nucifera-1-gal | gid://shopify/ProductVariant/42665843261514 | (blank),ACTIVE | 3.78 | 0 | 0
bloom-khaos-quart | gid://shopify/ProductVariant/42665843392586 | hmh01384,DRAFT | 41.06 | 19 | 19
bloom-natural-5-gal | gid://shopify/ProductVariant/42665843490890 | hmh00405,DRAFT | 45.00 | 8 | 8
bud-start-100-gm | gid://shopify/ProductVariant/42665843785802 | hmh00317,DRAFT | 45.98 | 107 | 107
biothrive-bloom-1-gal | gid://shopify/ProductVariant/42665843458122 | hmh00164,DRAFT | 72.85 | 11 | 11
biothrive-grow-1-qt | gid://shopify/ProductVariant/42665843523658 | hmh00160,DRAFT | 24.23 | 38 | 38
black-toffee-auto-feminised-larry-bubba-x-gelato-41-auto-5-seed | gid://shopify/ProductVariant/42665843753034 | (blank),ACTIVE | 66.00 | 0 | 0
bioweed-6-gal | gid://shopify/ProductVariant/42665843589194 | hmh00681,DRAFT | 1200.00 | 1 | 1
block-ir-4-x-50-roll | gid://shopify/ProductVariant/42665843556426 | hmh00921,DRAFT | 90.00 | 4 | 4
blue-dream-auto-seed-pack-8-pk | gid://shopify/ProductVariant/42665843687498 | (blank),ACTIVE | 50.00 | 0 | 0
biothrive-grow-6-gal | gid://shopify/ProductVariant/42665843720266 | hmh00672,DRAFT | 322.95 | 3 | 3
calimagic-2-5-gal | gid://shopify/ProductVariant/42665843654730 | hmh01158,DRAFT | 131.00 | 4 | 4
bioweed-2-5-gal | gid://shopify/ProductVariant/42665843621962 | hmh00680,DRAFT | 45.00 | 4 | 4
calimagic-qt | gid://shopify/ProductVariant/42665843982410 | hmh01156,DRAFT | 25.99 | 55 | 55
block-ir-4-x-100-roll | gid://shopify/ProductVariant/42665844015178 | hmh00922,DRAFT | 206.89 | 1 | 1
biothrive-grow-1-gal | gid://shopify/ProductVariant/42665844047946 | hmh00161,DRAFT | 79.95 | 14 | 14
biomarine-1-qt | gid://shopify/ProductVariant/42665844080714 | hmh00247,DRAFT | 67.08 | 11 | 11
bloom-grease-fermented-flowering-plant-juice | gid://shopify/ProductVariant/42665844113482 | (blank),ACTIVE | 29.97 | 100 | 100
bud-blood-bloom-stimulator-40-g | gid://shopify/ProductVariant/42665844277322 | hmh01029,DRAFT | 23.99 | 1 | 1
biothrive-bloom-1-qt | gid://shopify/ProductVariant/42665844244554 | hmh00163,DRAFT | 23.64 | 28 | 28
blue-haze-x-gelato-41-auto-feminised-blue-haze-x-gelato-41-auto-5-seed | gid://shopify/ProductVariant/42665844310090 | (blank),ACTIVE | 66.00 | 0 | 0
calcarb-calcium-carbonate-foliar-spray-6-oz | gid://shopify/ProductVariant/42665844441162 | hmh00459,DRAFT | 19.54 | 32 | 32
calnesium-defficiency-correction-supplemnt-6-gal | gid://shopify/ProductVariant/42665844834378 | hmh01858,DRAFT | 115.89 | 8 | 8
can-150-pre-filter | gid://shopify/ProductVariant/42665844867146 | hmh00722,DRAFT | 22.97 | 3 | 3
can-100-pre-filter | gid://shopify/ProductVariant/42665844932682 | hmh00720,DRAFT | 16.99 | 6 | 6
camg-1-gal | gid://shopify/ProductVariant/42665845063754 | hmh00254,DRAFT | 45.00 | 4 | 4
can-125-filter-16-5-od-49-2-high-10-flange-size-1110-cfm | gid://shopify/ProductVariant/42665845030986 | hmh00710,DRAFT | 112.95 | 4 | 4
calnesium-defficiency-correction-supplemnt-gal | gid://shopify/ProductVariant/42665845227594 | hmh01856,DRAFT | 57.99 | 3 | 3
can-33-filter-12-od-13-high-6-flange-size-200-cfm | gid://shopify/ProductVariant/42665845325898 | hmh00705,DRAFT | 112.95 | 4 | 4
