SKU,variantId,productHandle,status,currentQtyAtLocation,targetQty,deltaQty,currentPrice,targetPrice,currentCost,targetCost,currentBarcode,targetBarcode,action
2126,gid://shopify/ProductVariant/42665840803914,basic-600w-hps-ballast,ACTIVE,18,,,99.00,,62.0,,6911116465656,6911116465656,NO_CHANGE
2129,,,,,,,,,,,,0847127000977,SKIP_MISSING_IN_SHOPIFY
2136,,,,,,,,,,,,0892753002192,SKIP_MISSING_IN_SHOPIFY
2137,,,,,,,,,,,,0624493111342,SKIP_MISSING_IN_SHOPIFY
2025,,,,,,,,,,,,0851856003659,SKIP_MISSING_IN_SHOPIFY
2055,,,,,,,,,,,,0793094017428,SKIP_MISSING_IN_SHOPIFY
2068,,,,,,,,,,,,0727644132323,SKIP_MISSING_IN_SHOPIFY
2070,,,,,,,,,,,,0845268004755,SKIP_MISSING_IN_SHOPIFY
160,,,,,,,,,,,,0755361010051,SKIP_MISSING_IN_SHOPIFY
161,,,,,,,,,,,,0755361010037,SKIP_MISSING_IN_SHOPIFY
162,,,,,,,,,,,,0755361011041,SKIP_MISSING_IN_SHOPIFY
167,,,,,,,,,,,,0043725198003,SKIP_MISSING_IN_SHOPIFY
168,gid://shopify/ProductVariant/42665864527946,ona-gel-fresh-linen-1-qt,DRAFT,14,,,17.55,,10.75,,0624493122027,0624493122027,NO_CHANGE
169,gid://shopify/ProductVariant/42665864986698,ona-gel-fresh-linen-1-gal,DRAFT,2,,,39.05,,24.25,,0624493123024,0624493123024,NO_CHANGE
170,,,,,,,,,,,,0624493141325,SKIP_MISSING_IN_SHOPIFY
171,gid://shopify/ProductVariant/42665864396874,ona-pro-block-6oz,ACTIVE,29,,,9.99,,5.3,,0624493141349,0624493141349,NO_CHANGE
60,,,,,,,,,,,,0727644132217,SKIP_MISSING_IN_SHOPIFY
64,,,,,,,,,,,,0793094016216,SKIP_MISSING_IN_SHOPIFY
65,,,,,,,,,,,,0793094016223,SKIP_MISSING_IN_SHOPIFY
66,gid://shopify/ProductVariant/42665850961994,flora-micro-55-gal,DRAFT,15,,,115.34,,43.75,,0793094016230,0793094016230,NO_CHANGE
67,,,,,,,,,,,,0793094016261,SKIP_MISSING_IN_SHOPIFY
81,,,,,,,,,,,,0626853108825,SKIP_MISSING_IN_SHOPIFY
82,,,,,,,,,,,,0793094015929,SKIP_MISSING_IN_SHOPIFY
83,,,,,,,,,,,,0793094015936,SKIP_MISSING_IN_SHOPIFY
84,gid://shopify/ProductVariant/42665861480522,maxigro-2-2-lb,DRAFT,36,,,17.99,,7.67,,0793094012119,0793094012119,NO_CHANGE
86,gid://shopify/ProductVariant/42665861414986,maxibloom-2-2-lb,DRAFT,41,,,17.99,,7.67,,0793094012218,0793094012218,NO_CHANGE
