product_id,product_handle,product_title,product_status,product_vendor,product_type,variant_id,variant_title,sku,barcode,price,compare_at_price,cost_amount,cost_currency,inv_total_all_locations,inv_at_target_location,inv_detail_json
gid://shopify/Product/8043092181066,22-5-x-18-storage-bag,"22.5"" x 18"" Storage Bag",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817374794,Default Title,hmh01333,0840470001813,2.06,,0.94,USD,57,57,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":57}]"
gid://shopify/Product/8043092213834,2-in-site-plug-case-of-20,2 in. Site Plug (case of 20),DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817473098,Default Title,hmh00844,,10.60,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092246602,2-nanotech-reflector-for-sunblaster-t5,2' Nanotech Reflector for Sunblaster T5,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817440330,Default Title,hmh01478,0692236090810,7.99,,8.95,USD,4,4,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":4}]"
gid://shopify/Product/8043092279370,2-heavy-duty-neoprene-collars-case-of-200,"2"" heavy duty neoprene collars (case of 200)",ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817571402,Default Title,hmh00567,,90.00,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092312138,20-can-filter-flange-max,"20"" Can Filter Flange Max",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817604170,Default Title,hmh00731,,45.00,,,,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092344906,18-max-fan-3490-cfm,"18"" Max-Fan, 3490 CFM",DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817669706,Default Title,hmh01325,0840470002261,1531.34,1566.59,705.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
gid://shopify/Product/8043092377674,1mm-thick-100-mylar-roll,1mm Thick 100' Mylar Roll,DRAFT,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817702474,Default Title,hmh00925,0870883005146,87.93,,52.0,USD,0,0,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":0}]"
gid://shopify/Product/8043092410442,24-hour-timer-w-cooling-thermostat,24 Hour Timer w/cooling thermostat,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817636938,Default Title,hmh00932,11111111555555555,10.95,,5.95,USD,2,2,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":2}]"
gid://shopify/Product/8043092443210,240-volt-power-cord-8-ft,240 Volt Power cord 8 ft .,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817735242,Default Title,hmh00512,0849969032741,19.95,,12.95,USD,14,14,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":14}]"
gid://shopify/Product/8043092475978,240v-120v-4-light-switcher,240V - 120v 4 Light Switcher,ACTIVE,H Moon Hydro,simple,gid://shopify/ProductVariant/42665817768010,Default Title,hmh01121,0741559020285,253.58,,240.0,USD,1,1,"[{""location_id_suffix"":""75941806154"",""location_name"":""Shop location"",""available"":1}]"
