sku,handle,title,brand,vendor,product_type,diameter,length,flow_rate,source,shopify,woo,inventory,needs_images,needs_description,work_queue
786,1-2-straight-connector,"1/2"" Straight Connector",,,fitting,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
840,350-gph-magnetic-driven-pump,350 GPH Magnetic Driven Pump,,,pump_water,,,350 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
921,10-x12-5-submersible-pump-filter-bag,"10""x12.5"" Submersible Pump Filter Bag",EcoPlus,EcoPlus,pump_submersible,"10""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
787,1-2-rubber-grommet,"1/2"" Rubber Grommet",,,fitting,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
841,700-gph-magnetic-driven-pump,700 GPH Magnetic Driven Pump,,,pump_water,,,700 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
788,1-rubber-grommet,"1"" Rubber Grommet",,,fitting,"1""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
789,1-1-4-rubber-grommet,"1 1/4"" Rubber Grommet",,,fitting,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
791,1-2-blue-tubing-tube-hose,"1/2"" Blue Tubing tube hose",,,tubing,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
845,35w-air-pump,35w Air Pump,EcoPlus,EcoPlus,pump_air,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
792,1-2-black-tubing-tube-hose,"1/2"" Black Tubing tube hose",,,tubing,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
846,80w-air-pump,80w Air Pump,EcoPlus,EcoPlus,pump_air,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
793,1-4-clear-air-line-tube-hose,"1/4"" Clear Air line tube hose",,,tubing,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1009,merlin-gp-booster-pump-increases-flow,Merlin GP Booster Pump Increases Flow,Hydrologic,Hydrologic,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
821,1-2-inline-valve,"1/2"" Inline Valve",R&M,R&M,valve,"1/2""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1010,booster-pump-for-stealth-100-200,Booster Pump for Stealth 100/200,Hydrologic,Hydrologic,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1432,1-5qt-pump-mist-sprayer,1.5Qt Pump Mist sprayer,Mondi,Mondi,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
913,185-gph-submersible-pump,185 GPH Submersible Pump,EcoPlus,EcoPlus,pump_submersible,,,185 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
914,264-gph-submersible-pump,264 GPH Submersible Pump,EcoPlus,EcoPlus,pump_submersible,,,264 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
915,396-gph-submersible-pump,396 GPH Submersible Pump,EcoPlus,EcoPlus,pump_submersible,,,396 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1257,crossover-valve-for-propane,Crossover Valve for Propane,Greenair Products,Greenair Products,valve,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1016,3-8-union-connector,"3/8"" Union Connector",Hydrologic,Hydrologic,fitting,"3/8""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1018,1-4-union-connector-straight-for-stealth-ro-small-boy,"1/4"" Union Connector (straight) for Stealth RO & Small Boy",Hydrologic,Hydrologic,fitting,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1022,3-8-black-polyethelin-tubing,3/8 black polyethelin tubing,Hydrologic,Hydrologic,tubing,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1025,1-4-x-3-16-black-tubing-tube-hose,"1/4"" x 3/16"" Black Tubing tube hose",,,tubing,"1/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1546,1-2-white-tightener-fill-drain-fitting,1/2 (White Tightener) Fill & Drain Fitting,,,fitting,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1547,180-degree-sprayer,180 Degree Sprayer,,,emitter,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1200,3-4-straight-connector,"3/4"" Straight Connector",,,fitting,"3/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1201,3-4-elbow-connector,"3/4"" Elbow Connector",,,fitting,"3/4""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1013,float-valve-3-8-connections-for-tall-boy,"Float Valve 3/8"" Connections for Tall Boy",Hydrologic,Hydrologic,valve,"3/8""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1367,132-gph-submersible-pump,132 GPH Submersible Pump,EcoPlus,EcoPlus,pump_submersible,,,132 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1399,160-cfm-inline-duct-booster-6-,"160 CFM Inline Duct Booster 6""",EcoPlus,EcoPlus,other,"6""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
1400,370-cfm-inline-duct-booster-8-,"370 CFM Inline Duct Booster 8""",EcoPlus,EcoPlus,other,"8""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
1401,650-cfm-inline-duct-booster-12-,"650 CFM Inline Duct Booster 12""",EcoPlus,EcoPlus,other,"12""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2092,co2-tubing-rain-system,co2 tubing rain system,titan,titan,tubing,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1912,submersible-pump-245gph,Submersible Pump 245gph,maxi Jet,maxi Jet,pump_submersible,,,245 GPH,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2080,single-outlet-air-pump,single outlet air pump,,,pump_air,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2088,16-standing-fan-eco-plus,"16"" Standing fan eco plus",ecoplus,ecoplus,other,"16""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2101,replacement-monster-ebb-grow-pump,Replacement monster ebb & grow pump,cap,cap,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2106,ebb-pump-replacement,ebb pump replacement,CAP,CAP,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2149,black-mesh-pump-filter-replacement-for-waterpower-85-120,Black mesh pump filter replacement for waterpower 85/120,General Hydroponics,General Hydroponics,pump_water,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1548,cloner-spinner-aeroponic-sprayer-360-degrees,Cloner Spinner Aeroponic Sprayer 360 Degrees,FHD,FHD,emitter,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
1550,extension-fitting-hex-shape-threaded-,Extension Fitting Hex Shape (Threaded),Botanicare,Botanicare,fitting,,,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2250,6-inch-air-disc-stone-round,6 inch air disc stone round,Ecoplus,Ecoplus,other,"6""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
2302,12-inch-air-stone-airstone,12 inch air stone airstone,FHD,FHD,air_stone,"12""",,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description"
2388,100-feet-of-1-8-inch-drip-line,100 feet of 1/8 inch drip line,General Hydroponics,General Hydroponics,other,"1/8""",100 ft,,inventory,FALSE,FALSE,TRUE,TRUE,TRUE,"needs_images, needs_description, needs_classification"
