sku,handle,title,brand,primary_category,secondary_categories,price,compare_at_price,cost,inventory_qty,images,description,vendor,product_type,tags,status,source,needs_review
,bcuzz-bio-nrg-growth-c-1l,B'Cuzz BIO-NRG Growth-C 1L,BCuzz,nutrients,catalog_index,16.70,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/nrg_growthc.jpg?v=1761678764,,H Moon Hydro,simple,,active,shopify,no_sku
,b-52-vitamin-1-lt,B-52 Vitamin (1 lt),Advanced Nutrients,nutrients,catalog_index,44.60,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedB52Booster_7c898005-908f-43c4-9d9e-151d31e51482.jpg?v=1761678765,,H Moon Hydro,simple,,active,shopify,no_sku
,bcuzz-bio-nrg-flavor-c-1l,B'Cuzz BIO-NRG Flavor-C 1L,BCuzz,nutrients,catalog_index,16.70,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/nrg_flavor_2625b40c-d5e0-44f1-9cdd-c3d71976777f.jpg?v=1761678764,,H Moon Hydro,simple,,active,shopify,no_sku
,autumn-2-5-gallon,Autumn 2.5 Gallon,H Moon Hydro,nutrients,catalog_index,120.74,,,0,,,H Moon Hydro,simple,,active,shopify,no_sku
,5-gal-9-bag-kit-w-12-x-10-pressing-screen,"5 Gal, 9 bag Kit w/12"" x 10"" pressing screen",Unknown,nutrients,catalog_index,250.00,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/guano_bags.jpg?v=1761678749,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,5-gallon-electric-washing-machine-w-220-micro-bag,5 Gallon Electric Washing Machine w/220 micro bag,Unknown,nutrients,catalog_index,199.00,230.00,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/large-20-and-small-5.jpg?v=1761678749,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,5-gal-4-bag-kit-w-12-x-10-pressing-screen,"5 Gal, 4 bag Kit w/12"" x 10"" pressing screen",Unknown,nutrients,catalog_index,134.95,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/guano_bags_5432064a-7f5c-487c-aa79-e6a63500893a.jpg?v=1761678749,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,5-gallon-3-bag-kit,5 gallon /3 Bag Kit,Unknown,nutrients,catalog_index,180.00,,,0,,,H Moon Hydro,simple,,active,shopify,unknown_brand; no_sku
,flora-series,Flora Series,General Hydroponics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,floranova-series,FloraNova Series,General Hydroponics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,maxi-series,Maxi Series,General Hydroponics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,biobud,BioBud,General Organics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,biomarine,BioMarine,General Organics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,bioweed,BioWeed,General Organics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,diamond-black,Diamond Black,Humboldt,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,floraduo-complete,FloraDuo Complete,General Hydroponics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,our unique fermentation process creates a potent blend of phytostimulants and biometabolic precursors that enables Floralicious to bring out your plants full genetic potential. Floralicious augments metabolic activity in the root zone,marine plants,General Hydroponics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,koolbloom,KoolBloom,General Hydroponics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,Dataset:[],"in cloning machines add directly to water cutting / seed start through early part of flowering cycle (2.5ml) per gallon aggressive feeding / (1 ml) per gallon moderate application.,,2019-09-03 19:20:40,product,rapid-start,https://hmoonhydro.com/product/rapid-start/,General Hydroponics,,Nutrients &amp; Supplements > General Hydroponics",General Hydroponics,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,subculture-b-200gm-bag,SubCulture B 200gm. Bag,General Hydroponics,nutrients,catalog_index,41.95,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/SubCulture_F-Right_Foil.jpg?v=1761679082,,H Moon Hydro,simple,,active,shopify,no_sku
,subculture-m-200gm-bag,SubCulture M 200gm. Bag,General Hydroponics,nutrients,catalog_index,39.98,,,0,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/subculture_M.jpg?v=1761679081,,H Moon Hydro,simple,,active,shopify,no_sku
,general-organics-starter-box,General Organics Starter Box,General Organics,nutrients,catalog_index,56.25,,,0,,,H Moon Hydro,simple,,active,shopify,no_sku
,blossom-builder-tabzz,Blossom Builder Tabzz,Unknown,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
,royal-gold,Royal Gold,Royal Gold,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,double-super-b-extra-strength,Double Super B+ Extra Strength,Double Super B+,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,Iron DPTA,Cobalt Nitrate,Humboldt,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,Potassium Nitrate,Magnesium Phosphate,Humboldt,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; no_sku
,dueceduece,DueceDuece,Unknown,nutrients,catalog_index,,,,,,,,,,active,masters_only,no_source_match; unknown_brand; no_sku
