Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
gro-pro-12-air-pot,"GRO PRO 12"" AIR POT",,Gro Pro,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Gro Pro",TRUE,Title,Default Title,,,,,hmh01760,0,shopify,0,deny,manual,8.95,,TRUE,TRUE,,,,"GRO PRO 12"" AIR POT","GRO PRO 12"" AIR POT | H Moon Hydro","Shop GRO PRO 12"" AIR POT by Gro Pro at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
f-h-d-super-saucer-8,"F.H.D. Super Saucer 8""",,FHD,,Containers Pots,"category:containers_pots, category:catalog_index, brand:FHD",TRUE,Title,Default Title,,,,,hmh01190,0,shopify,0,deny,manual,1.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/mondi-super-sausers.jpg?v=1761678870,1,"F.H.D. Super Saucer 8""","F.H.D. Super Saucer 8"" | H Moon Hydro","Shop F.H.D. Super Saucer 8"" by FHD at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
cocotek-planter-14-in,CocoTek Planter 14 in.,,Cocotek,,Containers Pots,"category:containers_pots, category:catalog_index, brand:Cocotek",TRUE,Title,Default Title,,,,,hmh00115,0,shopify,0,deny,manual,18.70,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/ct_planters.jpg?v=1761678836,1,CocoTek Planter 14 in.,CocoTek Planter 14 in. | H Moon Hydro,Shop CocoTek Planter 14 in. by Cocotek at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
ac-infinity-self-watering-fabric-pot-base-xl-4-pack,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack",,AC Infinity,,Containers Pots,"category:containers_pots, category:catalog_index, brand:AC Infinity, Xtra Lage w/water gage",TRUE,Title,Default Title,,,,,HMH-POT-2DA0A7,0,shopify,0,deny,manual,89.99,90.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/self-wwatering-pro-model.jpg?v=1761678775,1,"AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack","AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack | H Moon Hydro","Shop AC Infinity -Self-Watering Fabric Pot Base XL, 4-Pack by AC Infinity at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
6-net-pot,"6"" Net Pot","6"" Brown Net Pot/ Mesh Basket",Unknown,,Catalog Index,category:catalog_index,TRUE,Title,Default Title,,,,,hmh01322,0,shopify,0,deny,manual,1.50,2.33,TRUE,TRUE,,,,"6"" Net Pot","6"" Net Pot | H Moon Hydro","Shop 6"" Net Pot by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
6-net-pot,"6"" Net Pot","6"" Brown Net Pot/ Mesh Basket",Unknown,,Containers Pots,category:containers_pots,TRUE,Title,Default Title,,,,,hmh01322,0,shopify,0,deny,manual,1.50,2.33,TRUE,TRUE,,,,"6"" Net Pot","6"" Net Pot | H Moon Hydro","Shop 6"" Net Pot by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
6-in-net-pot-case-of-50,6 in. Net-Pot (case of 50),,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh00843,0,shopify,0,deny,manual,97.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/netpots_ab31e436-1bac-40cf-9386-906f8b0737aa.jpg?v=1761678756,1,6 in. Net-Pot (case of 50),6 in. Net-Pot (case of 50) | H Moon Hydro,Shop 6 in. Net-Pot (case of 50) by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
6-in-bucket-basket,6 in. Bucket Basket,,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh00831,0,shopify,0,deny,manual,3.90,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bucket_baskets3_749deddc-36c5-4016-9517-2b55b82dcf31.jpg?v=1761678756,1,6 in. Bucket Basket,6 in. Bucket Basket | H Moon Hydro,Shop 6 in. Bucket Basket by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
5-net-pot,"5"" Net Pot","5"" Mesh Basket",Unknown,,Catalog Index,category:catalog_index,TRUE,Title,Default Title,,,,,hmh01323,0,shopify,0,deny,manual,1.00,0,TRUE,TRUE,,,,"5"" Net Pot","5"" Net Pot | H Moon Hydro","Shop 5"" Net Pot by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
5-net-pot,"5"" Net Pot","5"" Mesh Basket",Unknown,,Containers Pots,category:containers_pots,TRUE,Title,Default Title,,,,,hmh01323,0,shopify,0,deny,manual,1.00,0,TRUE,TRUE,,,,"5"" Net Pot","5"" Net Pot | H Moon Hydro","Shop 5"" Net Pot by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
4-76-gallon-bucket-no-handle,4.76 Gallon Bucket - No Handle,,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh00833,0,shopify,0,deny,manual,7.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bucket_baskets3_372d0cac-84c5-4316-9b20-042197e84d65.jpg?v=1761678744,1,4.76 Gallon Bucket - No Handle,4.76 Gallon Bucket - No Handle | H Moon Hydro,Shop 4.76 Gallon Bucket - No Handle by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
3-in-net-pot-case-of-100,3 in. Net-Pot (case of 100),,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh00842,0,shopify,0,deny,manual,56.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/netpots.jpg?v=1761678742,1,3 in. Net-Pot (case of 100),3 in. Net-Pot (case of 100) | H Moon Hydro,Shop 3 in. Net-Pot (case of 100) by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
10-in-bucket-basket,10 in. Bucket Basket,,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh00832,0,shopify,0,deny,manual,5.10,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/bucket_baskets3_2a2a25fa-ad91-4ab4-8cd9-ceef2cb254a5.jpg?v=1761678736,1,10 in. Bucket Basket,10 in. Bucket Basket | H Moon Hydro,Shop 10 in. Bucket Basket by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,active
1-1-4-reservoir-filter,"1 1/4"" reservoir filter",,Unknown,,Containers Pots,"category:containers_pots, category:catalog_index",TRUE,Title,Default Title,,,,,hmh00621,0,shopify,0,deny,manual,7.59,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/GH98012.jpg?v=1761678735,1,"1 1/4"" reservoir filter","1 1/4"" reservoir filter | H Moon Hydro","Shop 1 1/4"" reservoir filter by Unknown at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,active
