Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Gift Card,Status
,"Plantmax 1000W. MH High Output 120,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh00867,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 1000W. MH High Output 120,000 lumens","Plantmax 1000W. MH High Output 120,000 lumens | H Moon Hydro","Shop Plantmax 1000W. MH High Output 120,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Plantmax 150W. HPS High Output 16,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh01123,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 150W. HPS High Output 16,000 lumens","Plantmax 150W. HPS High Output 16,000 lumens | H Moon Hydro","Shop Plantmax 150W. HPS High Output 16,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Plantmax 220W. HPS Conversion 25,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh00875,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 220W. HPS Conversion 25,000 lumens","Plantmax 220W. HPS Conversion 25,000 lumens | H Moon Hydro","Shop Plantmax 220W. HPS Conversion 25,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,Plantmax 250W. MH Conversion,,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh01188,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,Plantmax 250W. MH Conversion,Plantmax 250W. MH Conversion | H Moon Hydro,Shop Plantmax 250W. MH Conversion by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.,FALSE,draft
,"Plantmax 360W. HPS Conversion 45,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh00876,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 360W. HPS Conversion 45,000 lumens","Plantmax 360W. HPS Conversion 45,000 lumens | H Moon Hydro","Shop Plantmax 360W. HPS Conversion 45,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Plantmax 400W. MH Conversion 36,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh00877,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 400W. MH Conversion 36,000 lumens","Plantmax 400W. MH Conversion 36,000 lumens | H Moon Hydro","Shop Plantmax 400W. MH Conversion 36,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Plantmax 600W. HPS High Output 90,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh00873,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 600W. HPS High Output 90,000 lumens","Plantmax 600W. HPS High Output 90,000 lumens | H Moon Hydro","Shop Plantmax 600W. HPS High Output 90,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"Plantmax 600W. MH Conversion 57,000 lumens",,Plantmax,,Grow Lights,"category:grow_lights, brand:Plantmax",FALSE,Title,Default Title,,,,,hmh00878,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"Plantmax 600W. MH Conversion 57,000 lumens","Plantmax 600W. MH Conversion 57,000 lumens | H Moon Hydro","Shop Plantmax 600W. MH Conversion 57,000 lumens by Plantmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"SolarMax 1000W. HPS w/ 147,000 Lumens",,Solarmax,,Grow Lights,"category:grow_lights, brand:Solarmax",FALSE,Title,Default Title,,,,,hmh00886,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"SolarMax 1000W. HPS w/ 147,000 Lumens","SolarMax 1000W. HPS w/ 147,000 Lumens | H Moon Hydro","Shop SolarMax 1000W. HPS w/ 147,000 Lumens by Solarmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"SolarMax 400W. HPS W/ 55,000 Lumens",,Solarmax,,Grow Lights,"category:grow_lights, brand:Solarmax",FALSE,Title,Default Title,,,,,hmh00884,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"SolarMax 400W. HPS W/ 55,000 Lumens","SolarMax 400W. HPS W/ 55,000 Lumens | H Moon Hydro","Shop SolarMax 400W. HPS W/ 55,000 Lumens by Solarmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
,"SolarMax 600W. HPS W/ 95,000 Lumens",,Solarmax,,Grow Lights,"category:grow_lights, brand:Solarmax",FALSE,Title,Default Title,,,,,hmh00885,0,shopify,0,deny,manual,0.00,,TRUE,TRUE,,,,"SolarMax 600W. HPS W/ 95,000 Lumens","SolarMax 600W. HPS W/ 95,000 Lumens | H Moon Hydro","Shop SolarMax 600W. HPS W/ 95,000 Lumens by Solarmax at H Moon Hydro. Quality hydroponic supplies for serious growers.",FALSE,draft
