Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
turtle-taffy-auto-seed-8pk,Turtle Taffy Auto – Seed 8pk,"",H Moon Hydro,,simple,Atlas Seed,false,Title,Default Title,,,,,,,,,7.08738078125,,0,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Atlas-Seed-Turtle-Taffy-1.webp?v=1761679116,1,"",false,,,,oz,,,active
turtle-taffy-auto-seed-8pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/atlas-1_d593be96-222f-41a7-9753-14ed722876e1.jpg?v=1761679116,2,"",,,,,,,,
two-way-splitter-3-8-in,TWO WAY SPLITTER 3/8 in.,"",H Moon Hydro,,simple,Two Way Splitter 3_8 inch,false,Title,Default Title,,,,,,,,hmh00950,28.349523125,,0,deny,manual,6.25,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/Two-Way-Splitter-3_8-inch.jpg?v=1761679116,1,Two Way Splitter 3_8 inch,false,,,,oz,,,active
white-widow-auto-seed-8-pack,White Widow Auto – Seed -8 Pack,"",H Moon Hydro,,simple,Atlas Seed,false,Title,Default Title,,,,,,,,,7.08738078125,,0,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/White-Widow-Flower.webp?v=1761679116,1,"",false,,,,oz,,,active
white-widow-auto-seed-8-pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/atlas-1_e027ae3f-3b24-4d3e-85cc-7425a2defa3f.jpg?v=1761679116,2,"",,,,,,,,
ultra-premium-connoisseur-part-b-1-gal,Ultra-premium Connoisseur Part-B (1 gal),"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01068,0.0,,0,deny,manual,95.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/advancedConnoisseurA.jpg?v=1761679116,1,"",false,,,,lb,,,active
uno-single-mechanical-timer,UNO Single Mechanical Timer,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01321,113.3980925,,0,deny,manual,10.99,,true,true,,,,,,,,,false,,,,oz,,,active
vitamino-amino-acid-supplement-quart,Vitamino Amino Acid Supplement Quart,"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01363,141.747615625,,0,deny,manual,30.59,,true,true,,,,,,,,,false,,,,oz,,,active
voodoo-juice-root-booster-1-gal,VooDoo Juice Root Booster (1 gal),"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01071,340.1942775,,0,deny,manual,330.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/voodoo_0ab48b01-3f4c-4be6-a205-565ddab61124.jpg?v=1761679116,1,"",false,,,,oz,,,active
voodoo-juice-root-booster-1-lt,VooDoo Juice Root Booster (1 lt),"",H Moon Hydro,,simple,"",false,Title,Default Title,,,,,,,,hmh01070,85.048569375,,0,deny,manual,107.04,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0672/5730/3114/files/voodoo_dee04df6-6919-4430-b3a8-83fdbbbb678e.jpg?v=1761679116,1,"",false,,,,oz,,,active
